GENERAL CONCEPT (GOAL),STRATEGIES,ADAPT TYPE,SOUTHEAST COASTAL CLIMATE HAZARDS,SOUTHWEST CLIMATE HAZARDS,CULTURAL RESOURCE IMPACTS FROM CLIMATE HAZARD(S),ENVIRONMENTAL SETTING / CONTEXT (MACRO-SCALE),ARCHEOLOGY SUBTYPES,CULTURAL LANDSCAPES SUBTYPES,MUSEUM COLLECTIONS SUBTYPES,HISTORIC STRUCTURES SUBTYPE,FEASIBILITY ,NOTE(S),LONGEVITY ,NOTE(S),BEST PRACTICE GUIDANCE,HISTORIC RESOURCE CONSIDERATIONS,(if applicable/known)           TRIBAL CONSIDERATIONS             ,CASE STUDY REFERENCE,EFFECTIVENESS ,NOTE(S),CITATION - NAME,CITATION - LINK,PG #
Restore floodplain,Restore the physical and functional aspects of floodplain areas.,ACCLIMATE (intrinsic),"Flooding (precipitation), Increased Storm Surge frequency & severity",Flash Flooding,,,Subsurface,"Spatial patterns + views, ecological and natural systems",,"(immediate) site, building",LOW,A large-scale project could have broad-reaching implications for protecting cultural resources. ,LONG,DoD acknowledges this type of protection project may be unsuccessful or too costly. ,,,,,,,"2023_Climate Adaptation Guide and 2023 Climate Positive Design Toolkit
for Cultural Resources",,"53, 14"
Restore wetland ecosystem,,ACCLIMATE (intrinsic),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity, Inundation, Coastal erosion",,,,,"Spatial patterns + views, ecological and natural systems",,"(immediate) site, building",LOW,A large-scale project could have broad-reaching implications for protecting cultural resources. ,LONG,DoD acknowledges this type of protection project may be unsuccessful or too costly. ,"Work across organizations to design, manage, and seek funding. ",,,Homestead Air Reserve Base are invovled in the ongoing Biscayne Bay Southeastern Everglades Restoration efforts to restore freshwater wetlands nera the installation.,,,"2023_Climate Adaptation Guide 
for Cultural Resources",,"53, 59"
Connect green spaces,"Connect new and existing green spaces to form larger, well-connected areas.",ACCLIMATE (intrinsic),Increased average temperature,Increased average temperature,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"Spatial patterns + views, ecological and natural systems, vegetation",,(immediate) site,,Depends on scale of site and potential for conversion of new green spaces,MID to LONG,Depends on maintenance abilities and/or ability of unmaintained space to perform.,Review location-specific studies as available regarding size and shape of connected spaces.,Ensure that any additional green spaces are aligned with historic spatial patterns and do not obscure contributing views.,,"Austin, Texas (Kim et al., 2016)",,Larger and better-connected landscape spatial patterns were positively correlated with lower land surface temperatures.,2024 Landscape Architecture Solutions to Extreme Heat,,19
,Replace glass with tempered or impact-resistant glazing in doors and windows,ACCLIMATE (intrinsic),"Intensified Wind, Increased Storm Surge frequency & severity",,,SE - Coastal,,,,"assembly, material",MED,May require contractor and material sourcing,LONG,Durable and code-compliant,"FEMA P-804 Wind Retrofit Guide, NPS Preservation Briefs 11, 13, 44. Illustrated Guidelines on Sustainability by NPS for low emissivity glass.",Should be reversible?,,"Charleston, SC",MAX,High protection against airborne debris and impacts,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",,"R6.5, R6.7"
Provide back-up power systems and means to maintain critical functions and environment,"Design and install systems with redundancy, such as extra units; install permanent back-up generator(s) or provide for temporary generator hook-up",ACCLIMATE (intrinsic),"Increased Storm Surge frequency & severity, Intensified Wind, Flooding (precipitation), Tidal Flooding, Increased Wildfire, Increased average temperature, Higher relative humidity, Inundation","Flash Flooding, Landslides, Increased Wildfire, Drought, Increased average temperature","Deterioration, Dessication, Dissruption","SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,building,,,,,,,,"National Air and Space Museum, Ann Arbor Public Schools (Lawton Elementary)",,,,,
"Remove heavy fuels (deadfall, snags, heavy brush)",Remove materials with the greatest potential to damage cultural resources in the event of wildfire,PROTECT (extrinsic),Increased Wildfire,"Increased Wildfire Impacts (Size, Speed, Frequency, Damage)",,"SW - Desert, SW - Mountain, SE - Inland","Surface, Subsurface","Spatial patterns + views, ecological and natural systems, vegetation, built features","Stored, Exhibited, Records",,MED to HIGH,,SHORT to MID,,Remove concentrated or heavy fuels from sensitive sites when identified as having the potential to adversely impact the resource. Particular care should be given to the location and burning of slash piles.,Hand removal may be necessary.,,,,,2012 Wildland Fire in Ecosystems: Effects of Fire on Cultural Resources and Archaeology,,185
Temporary deployable flood defense,"Sand bags, water filled barriers (water bladders), water proof wraps with support structures, flood gates",PROTECT (extrinsic),"Flooding (precipitation), Tidal Flooding",,"Submersion, Inundation, Saturation, Deterioration",SE - Coastal,Surface,,,"(immediate) site, building",HIGH,,SHORT,Not meant to withstand moving flood waters or long term inundation,Store equipment nearby; use pumps and generators for seepage control. Avoid permanent alterations; attach fasteners in concealed areas; train for deployment; use backup power for pumps; ensure floodgates and wraps fit specific building dimensions., Avoid damage to materials and features; consider visibility and impact of permanent stanchions; prevent water pressure transfer to structure.,,"Baltimore, MD (example of stanchions and floodgates)",AVE,,2021 Guidelines on Flood Adaptation for Rehabilitating Historic Buildings,2021 Guidelines on Flood Adaptation for Rehbilitating Historic Buildings,25–30
"Conduct regular inspections focused on moisture protectiona and drainage, including direct measurement of moisture in wood",,PROTECT (extrinsic),Higher relative humidity,,,"SE - Coastal, SE - Inland",,,,building,MED to HIGH,"Feasibility will depend on available labor to conduct inspections, cost of necessary equipment to assess moisture",MID to LONG,"If regularly performed, this could be a long-term strategy",,,,,,,2020 Adapt Northern Heritage Conservation Factsheets,,11
Remove live vegetation from sensitive cultural sites,"Remove trees, shrubs, and brush from sensitive sites to prevent potential fire impacts",PROTECT (extrinsic),Increased Wildfire,"Increased Wildfire Impacts (Size, Speed, Frequency, Damage)",,"SW - Desert, SW - Mountain, SE - Inland","Surface, Subsurface","Spatial patterns + views, vegetation, built features",,,HIGH,"First consider if erosion would be accelerated or if expore to looting is increased. If so, that risk may outweigh the benefit of fire protection.",MID to LONG,,Prior assessment for erosion and looting risk is critical to determination of viability as a fire protection strategy.,Hand removal may be necessary.,,,,,2012 Wildland Fire in Ecosystems: Effects of Fire on Cultural Resources and Archaeology,,185
Elevating on new foundation,"Lift building, construct higher foundation, reattach with access redesign; account for setting and character",DISLOCATE (move),"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity, Inundation",,,SE - Coastal,,,,"(immediate) site, building, operations + occupancy",LOW,,LONG,,"Assess massing, scale, topography; minimize impact on historic district; follow local ordinances. Maintain proportional relationships; reuse historic materials; conceal changes through site alterations; use regionally traditional foundation forms.","Preserve massing, materials, and character; avoid adding conjectural features; match foundation style and dimensions. Use compatible new foundations that maintain historic character and minimize visual impact.",,"Bay Head Yacht Club; Creek Street Historic District, AK; Owego, NY; Charles Marks house, AL; Cedar Rapids, IA",MAX,,2021 Guidelines on Flood Adaptation for Rehabilitating Historic Buildings,2021 Guidelines on Flood Adaptation for Rehbilitating Historic Buildings,82–99
Maintain and revitalize traditional relationships and uses,"Preserve threatened resources to ensure that traditional crafts, medicines, and relationships can continue in a changing environment. For example, store black ash logs from emerald ash borer killed trees in water to preserve the wood for future use in craft-making.",ACCLIMATE (intrinsic),Biological community changes,,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"land use, vegetation, built features",,,MED to HIGH,,MID,"Would be an ongoing practice, depends on how long resources can be saved ",,"Consider the relationships between historic materials harvesting and historic features in the landscape. Will some features disappear? If so, how will this loss be interpreted?",Consult with THPO and other tribal representatives and knowledge holders,,,,2019 Dibaginjigaadeg Anishinaabe Ezhitwaad: A Tribal Climate Adaptation Menu,,24
Decrease erosion,"Vegetation on slopes, geogrids",PROTECT (extrinsic),Coastal erosion,Landslides,Destruction,"SE - Coastal, SW - Mountain",,vegetation,,(immediate) site,,,,,"Vegetation on slopes provides protection against erosion and shallow slides. Roots reinforce or bind the soil and provide cohesion that improves stability against shallow slides. In addition, plant roots reuce pore pressures within slopes by intercepting rainfall, reducing immediate infiltration into ground, and by evapo-transpiration. Vegetation be be unsed in combination with mechanical reinforcements such as geogrids",,,,,,,,
Maximize green space,Maximize the size of green spaces to the greatest extent possible,ACCLIMATE (intrinsic),"Increased average temperature, Flooding (precipitation)",Increased average temperature,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"Spatial patterns + views, ecological and natural systems, vegetation",,"(immediate) site, larger site",MED,Varies based on site constraints. ,,Depends on species used and maintenance capabilities.,Refer to local planting guidance with regards to best species for climate change predictions in area.,Consider contributing spatial patterns and views so new planting doesn't negatively impact them. Respect buffers to protect historic structures. ,,"M.Chen et al., 2022; Feyisa et al., 2014)",,,2024 Landscape Architecture Solutions to Extreme Heat,,19
Rainwater harvesting,Install rain barrels and cisterns to capture and reuse roof runoff,PROTECT (extrinsic),Flooding (precipitation),,,SE - Coastal,,,,"(immediate) site, operations + occupancy",HIGH,,MID,,NC and FL Cooperative Extensions,Conceal rain barrels from public view using shrubs/fencing,,"Charleston, SC",AVE,,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",2024_Resilience-Guidance-For-Charleston,R2.7
Change wind flow conditions,"Change in wind local surroundings (wind flow breakers, planting of trees)",PROTECT (extrinsic),Intensified Wind,,Destruction,SE - Coastal,,vegetation,,building,MED,,LONG,,,,,,,,2012 Atlas of Climate Change Impact of European Cultural Heritage,,94
,Regular trimming of overhanging tree limbs to prevent roof damage,PROTECT (extrinsic),Intensified Wind,,,SE - Coastal,,vegetation,,(immediate) site,HIGH,"Simple maintenance task, easily done by owner or contractor",SHORT,Needs repeating regularly (seasonally or annually),,Must avoid damaging historic fabric when trimming.To be considered in conjunction with CL.,,"Charleston, SC",AVE,Reduces risk from falling limbs and associated roof damage,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",,R3.2
Strengthen plumbing resilience,"Install backflow preventers, use low-flow fixtures, secure water tanks with straps, use flexible fuel/water line, insulate hot water systems, switch to on-demand heaters",,"Flooding (precipitation), Tidal Flooding, Increased Storm Surge frequency & severity",,Submersion,SE - Coastal,,,,assembly,MED,Some upgrades require contractors,,,,,,"Charleston, SC",AVE,"Reduces damage risk, but doesn't eliminate hazard exposure","“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",,R7.6
